subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Education for Sustainability,2019,91736,1,0.902777777777778,0.902777777777778,False,4
Education for Sustainability,2019,90828,2,0.87780548628429,0.87780548628429,False,6
Education for Sustainability,2019,91735,2,0.871473354231975,0.871473354231975,False,4
Education for Sustainability,2019,90831,1,0.86,0.86,False,5
Education for Sustainability,2019,90832,1,0.812720848056537,0.812720848056537,False,5
Business Studies,2019,91379,1,0.964285714285714,0.964285714285714,False,4
Business Studies,2019,91381,1,0.962732919254658,0.962732919254658,False,4
Business Studies,2019,91380,1,0.955568053993251,0.955568053993251,False,4
Business Studies,2019,91385,1,0.929961089494164,0.929961089494164,False,3
Business Studies,2019,91870,1,0.881909547738694,0.881909547738694,False,4
Business Studies,2019,91383,1,0.879641909814324,0.879641909814324,False,3
Chemistry,2019,91389,1,0.952380952380952,0.952380952380952,False,3
Chemistry,2019,91390,1,0.935353535353535,0.935353535353535,False,5
Chemistry,2019,91391,1,0.927480916030534,0.927480916030534,False,5
Chemistry,2019,91392,1,0.908429610611896,0.908429610611896,False,5
Chemistry,2019,91389,2,0.834362384231774,0.834362384231774,False,3
Chemistry,2019,91388,1,0.833333333333333,0.833333333333333,False,3
Classical Studies,2019,91396,1,0.942654639175258,0.942654639175258,False,6
Classical Studies,2019,91395,1,0.935094773118897,0.935094773118897,False,4
Classical Studies,2019,91394,1,0.923935091277891,0.923935091277891,False,4
Classical Studies,2019,91398,2,0.842642320085929,0.842642320085929,False,6
Classical Studies,2019,91397,1,0.832707271263751,0.832707271263751,False,4
Economics,2019,91403,1,0.960902733630006,0.960902733630006,False,6
Economics,2019,91400,1,0.947690857681433,0.947690857681433,False,4
Economics,2019,91399,1,0.930211032950759,0.930211032950759,False,4
Economics,2019,91402,1,0.874185136897001,0.874185136897001,False,5
Economics,2019,91402,2,0.842251288149029,0.842251288149029,False,5
Accounting,2019,91408,1,0.960928961748634,0.960928961748634,False,4
Accounting,2019,91404,1,0.951530612244898,0.951530612244898,False,4
Accounting,2019,91406,1,0.942375263527758,0.942375263527758,False,5
Accounting,2019,91407,1,0.848331648129424,0.848331648129424,False,5
