standard,title,credits,assessment_type,subject
91533,Demonstrate understanding of a variety of extended spoken Chinese texts,5,External,Chinese
91534,Give a clear spoken presentation in Chinese that communicates a critical response to stimulus material,3,Internal,Chinese
91535,Interact clearly using spoken Chinese to explore and justify varied ideas and perspectives in different situations,6,Internal,Chinese
91536,Demonstrate understanding of a variety of extended written and/or visual Chinese texts,5,External,Chinese
91537,Write a variety of text types in clear Chinese to explore and justify varied ideas and perspectives,5,Internal,Chinese
91538,Demonstrate understanding of a variety of extended spoken Cook Islands Maori texts,5,External,Cook Islands Maori
91539,Give a clear spoken presentation in Cook Islands Maori that communicates a critical response to stimulus material,3,Internal,Cook Islands Maori
91540,Interact clearly using spoken CIs Maori to explore and justify varied ideas and perspectives in different situations,6,Internal,Cook Islands Maori
91541,Demonstrate understanding of a variety of extended written and/or visual Cook Islands Maori texts,5,External,Cook Islands Maori
91542,Write a variety of text types in clear Cook Islands Maori to explore and justify varied ideas and perspectives,5,Internal,Cook Islands Maori
91543,Demonstrate understanding of a variety of extended spoken French texts,5,External,French
91544,Give a clear spoken presentation in French that communicates a critical response to stimulus material,3,Internal,French
91545,Interact clearly using spoken French to explore and justify varied ideas and perspectives in different situations,6,Internal,French
91546,Demonstrate understanding of a variety of extended written and/or visual French texts,5,External,French
91547,Write a variety of text types in clear French to explore and justify varied ideas and perspectives,5,Internal,French
91548,Demonstrate understanding of a variety of extended spoken German texts,5,External,German
91549,Give a clear spoken presentation in German that communicates a critical response to stimulus material,3,Internal,German
91550,Interact clearly using spoken German to explore and justify varied ideas and perspectives in different situations,6,Internal,German
91551,Demonstrate understanding of a variety of extended written and/or visual German texts,5,External,German
91552,Write a variety of text types in clear German to explore and justify varied ideas and perspectives,5,Internal,German
91553,Demonstrate understanding of a variety of extended spoken Japanese texts,5,External,Japanese
91554,Give a clear spoken presentation in Japanese that communicates a critical response to stimulus material,3,Internal,Japanese
91555,Interact clearly using spoken Japanese to explore and justify varied ideas and perspectives in different situations,6,Internal,Japanese
91556,Demonstrate understanding of a variety of extended written and/or visual Japanese texts,5,External,Japanese
91557,Write a variety of text types in clear Japanese to explore and justify varied ideas and perspectives,5,Internal,Japanese
91558,Demonstrate understanding of a variety of extended spoken Korean texts,5,External,Korean
91559,Give a clear spoken presentation in Korean that communicates a critical response to stimulus material,3,Internal,Korean
91560,Interact clearly using spoken Korean to explore and justify varied ideas and perspectives in different situations,6,Internal,Korean
91561,Demonstrate understanding of a variety of extended written and/or visual Korean texts,5,External,Korean
91562,Write a variety of text types in clear Korean to explore and justify varied ideas and perspectives,5,Internal,Korean
91563,Demonstrate understanding of a variety of extended spoken Samoan texts,5,External,Samoan
91564,Give a clear spoken presentation in Samoan that communicates a critical response to stimulus material,3,Internal,Samoan
91565,Interact clearly using spoken Samoan to explore and justify varied ideas and perspectives in different situations,6,Internal,Samoan
91566,Demonstrate understanding of a variety of extended written and/or visual Samoan texts,5,External,Samoan
91567,Write a variety of text types in clear Samoan to explore and justify varied ideas and perspectives,5,Internal,Samoan
91568,Demonstrate understanding of a variety of extended spoken Spanish texts,5,External,Spanish
91569,Give a clear spoken presentation in Spanish that communicates a critical response to stimulus material,3,Internal,Spanish
91570,Interact clearly using spoken Spanish to explore and justify varied ideas and perspectives in different situations,6,Internal,Spanish
91571,Demonstrate understanding of a variety of extended written and/or visual Spanish texts,5,External,Spanish
91572,Write a variety of text types in clear Spanish to explore and justify varied ideas and perspectives,5,Internal,Spanish
91573,Apply the geometry of conic sections in solving problems,3,Internal,Mathematics
91574,Apply linear programming methods in solving problems,3,Internal,Mathematics
91575,Apply trigonometric methods in solving problems,4,Internal,Mathematics
91576,Use critical path analysis in solving problems,2,Internal,Mathematics
91577,Apply the algebra of complex numbers in solving problems,5,External,Mathematics
91578,Apply differentiation methods in solving problems,6,External,Mathematics
91579,Apply integration methods in solving problems,6,External,Mathematics
91580,Investigate time series data,4,Internal,Mathematics
91581,Investigate bivariate measurement data,4,Internal,Mathematics
91582,Use statistical methods to make a formal inference,4,Internal,Mathematics
91583,Conduct an experiment to investigate a situation using experimental design principles,4,Internal,Mathematics
91584,Evaluate statistically based reports,4,External,Mathematics
91585,Apply probability concepts in solving problems,4,External,Mathematics
91586,Apply probability distributions in solving problems,4,External,Mathematics
91587,Apply systems of simultaneous equations in solving problems,3,Internal,Mathematics
91588,Produce a dance to realise a concept,8,Internal,Dance
91589,Choreograph a dance to develop and resolve ideas,4,Internal,Dance
91590,Perform a solo or duet dance,4,Internal,Dance
91591,Perform a group dance,4,Internal,Dance
91592,Perform a repertoire of contrasting dances,6,Internal,Dance
91593,Demonstrate understanding of dance performance practices,4,Internal,Dance
91594,Analyse a dance performance,4,External,Dance
91595,Demonstrate understanding of the development of dance in Aotearoa/New Zealand,4,External,Dance
91596,Demonstrate understanding of ideological responses to an issue,4,External,Social Studies
91597,Conduct a critical social inquiry,6,Internal,Social Studies
91598,Demonstrate understanding of how ideologies shape society,4,External,Social Studies
91599,Examine personal involvement in a social action(s) that aims to influence policy change(s),6,Internal,Social Studies
91600,Examine a campaign of social action(s) to influence policy change(s),4,Internal,Social Studies
91601,"Carry out a practical investigation in a biological context, with guidance",4,Internal,Biology
91602,Integrate biological knowledge to develop an informed response to a socio-scientific issue,3,Internal,Biology
91603,Demonstrate understanding of the responses of plants and animals to their external environment,5,External,Biology
91604,Demonstrate understanding of how an animal maintains a stable internal environment,3,Internal,Biology
91605,Demonstrate understanding of evolutionary processes leading to speciation,4,External,Biology
91606,Demonstrate understanding of trends in human evolution,4,External,Biology
91607,Demonstrate understanding of human manipulations of genetic transfer and its biological implications,3,Internal,Biology
91608,Undertake brief development to address an issue within a determined context,4,Internal,Technology
91609,Undertake project management to support technological practice,4,Internal,Technology
91610,Develop a conceptual design considering fitness for purpose in the broadest sense,6,Internal,Technology
91611,Develop a prototype considering fitness for purpose in the broadest sense,6,Internal,Technology
91612,Demonstrate understanding of how technological modelling supports technological development and implementation,4,External,Technology
91613,Demonstrate understanding of material development,4,External,Technology
91614,Demonstrate understanding of operational parameters in complex and highly complex technological systems,4,External,Technology
91615,"Demonstrate understanding of consequences, responsibilities and challenges involved in technology",4,Internal,Technology
91616,Demonstrate understanding of how the fitness for purpose of technological outcomes may be broadly interpreted,4,Internal,Technology
91617,Undertake a critique of a technological outcome's design,4,External,Technology
91618,Undertake development and implementation of a green manufacturing process,6,Internal,Technology
91619,Demonstrate understanding of the application of a technical area to a specific field,4,Internal,Technology
91620,Implement complex procedures to integrate parts using resistant materials to make a specified product,6,Internal,Technology
91621,Implement complex procedures using textile materials to make a specified product,6,Internal,Technology
91622,Implement complex procedures to make a specified product using a Computer Numerical Controlled (CNC) machine,4,Internal,Technology
91623,Implement complex procedures to create an applied design for a specified product,4,Internal,Technology
91624,Demonstrate understanding of a structural system,3,Internal,Technology
91625,Demonstrate understanding of a complex machine,3,Internal,Technology
91626,Draft a pattern to interpret a design for a garment,6,Internal,Technology
91627,Initiate design ideas through exploration,4,External,Design and Visual Communication
91628,Develop a visual presentation that exhibits a design outcome to an audience,6,Internal,Design and Visual Communication
91629,Resolve a spatial design through graphics practice,6,Internal,Design and Visual Communication
91630,Resolve a product design through graphics practice,6,Internal,Design and Visual Communication
91631,Produce working drawings to communicate production details for a complex design,6,External,Design and Visual Communication
91632,Demonstrate understanding of complex concepts of information systems in an organisation,4,External,Technology
91633,Implement complex procedures to develop a relational database embedded in a specified digital outcome,6,Internal,Technology
91634,Demonstrate understanding of complex concepts of digital media,4,Internal,Technology
91635,Implement complex procedures to produce a specified digital media outcome,4,Internal,Technology
91636,Demonstrate understanding of areas of computer science,4,External,Technology
91637,Develop a complex computer program for a specified task,6,Internal,Technology
91638,Demonstrate understanding of complex concepts used in the design and construction of electronic environments,4,External,Technology
91639,Implement complex interfacing procedures in a specified electronic environment,4,Internal,Technology
