"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,17591,6,0,0.5,1,1
2025,17591,7,0.001337817727747714,0.5013378177277477,1,1
2025,17592,5,0,0.5,1,1
2025,17592,6,0.002487751650013137,0.5024877516500131,1,1
2025,17594,6,9.181964570674217E-4,0.5009181964570675,1,1
2025,17596,6,0,0.5,1,1
2025,17600,6,0,0.5,1,1
2025,17600,7,0.001954155116014322,0.5019541551160143,1,1
2025,17677,5,0.03737970235202232,0.5373797023520224,1,1
2025,17678,4,0,0.5,1,1
2025,17763,4,0,0.5,1,1
2025,17772,6,0,0.5,1,1
2025,17772,7,0,0.5,1,1
2025,17784,7,0,0.5,1,1
2025,17784,8,0.04213642515495358,0.5421364251549536,1,1
2025,17784,9,0,0.5,1,1
2025,17786,7,0.03037823693767949,0.5303782369376795,1,1
2025,17786,8,0.1109633433206582,0.6109633433206583,1,1
2025,17786,9,0.1071589954945713,0.6071589954945713,1,1
2025,17791,7,0,0.5,1,1
2025,17791,8,0.0526037173178211,0.5526037173178211,1,1
2025,17791,9,0.02816932817754964,0.5281693281775497,1,1
2025,17817,4,0,0.5,1,1
2025,17818,5,0,0.5,1,1
2025,17819,4,0,0.5,1,1
2025,17820,4,0,0.5,1,1
2025,17820,5,0,0.5,1,1
2025,17821,4,0,0.5,1,1
2025,17976,4,0,0.5,1,1
2025,17978,4,0,0.5,1,1
2025,18104,3,0,0.5,1,1
2025,18132,3,0.04114941073308165,0.5411494107330816,1,1
2025,18159,5,0,0.5,1,1
2025,18159,6,0,0.5,1,1
2025,18170,6,0,0.5,1,1
2025,18211,6,0.07205786028693262,0.5720578602869326,1,1
2025,18211,7,0,0.5,1,1
2025,18212,5,0.06199486631293338,0.5619948663129334,1,1
2025,18212,6,0.02641794323601032,0.5264179432360103,1,1
2025,18213,4,0.03685568342601064,0.5368556834260106,0.9997395301317036,0.9997395301317036
2025,18214,4,0,0.5,1,1
2025,18226,5,0.0875791453430157,0.5875791453430157,1,1
2025,18227,4,0,0.5,1,1
2025,18228,4,0.07105706250239285,0.5710570625023929,1,1
2025,18274,5,0,0.5,1,1
2025,18282,4,0,0.5,1,1
2025,18352,7,0.0731280523588907,0.5731280523588906,0.9995799070415767,0.9995799070415768
2025,18354,7,0,0.5,1,1
2025,18357,7,0,0.5,1,1
2025,18360,7,0.161713552504812,0.661713552504812,1,1
2025,18363,8,0,0.5,1,1
2025,18408,6,0.004791263688012803,0.5047912636880127,1,1
2025,18409,5,0.001036240146961021,0.501036240146961,1,1
2025,18409,6,0,0.5,1,1
2025,18426,8,0,0.5,1,1
2025,18426,9,0,0.5,1,1
2025,18496,3,0,0.5,1,1
2025,18496,4,0,0.5,1,1
2025,18497,9,0.07091600809963461,0.5709160080996346,1,1
2025,18516,3,0,0.5,1,1
2025,18692,7,0.01310692140101361,0.1098426191023454,0.3352110726554816,0.7384753749541497
2025,18694,6,0.2484314233153135,0.7450638875327604,0.9966324642174469,1
2025,18694,7,0.04388596876985901,0.1768820693509423,0.5879238984804472,0.954927797899364
